"ex_name","description","musclegroup","eq_name"
"Dumbbell curls","Lift a dumbbell","Biceps","Dumbbells"
"Dumbbell flies","Lift a dumbbell","Chest","Dumbbells"
"Bench press","Lift a barbell","Chest","Bench"
"Squat","desc","Quadriceps","None"
"Alternating Arnold Curls","desc","Biceps","Dumbbells"
"non-Alternating Arnold Curls","desc","Biceps","Dumbbells"
"Inner Curls","desc","Biceps","Dumbbells"
"Single Arm Overhead Extensions Tricep Emphasis","desc","Triceps","Dumbbells"
"Single Arm Overhead Extensions Shoulder Emphasis","desc","Shoulders","Dumbbells"
"Two Hand Overhead Extensions Tricep Emphasis","desc","Triceps","Dumbbells"
"Two Hand Overhead Extensions Shoulder Emphasis","desc","Shoulders","Dumbbells"
"Back Fly for Traps","desc","Trapezoid","Dumbbells"
"Back Fly for Shoulders","desc","Shoulders","Dumbbells"
"Single Arm Pullover","desc","Chest","Dumbbells"
"Two Hand Pullover","desc","Chest","Dumbbells"
"Tricep Kickbacks","desc","Triceps","Dumbbells"
"Forearm Curl","desc","Forearms","Dumbbells"
"Forearm Twist","desc","Forearms","Dumbbells"
"Forearm Extension","desc","Forearms","Dumbbells"
"Bench Press","desc","Chest","Dumbbells"
"Bench Press Close Grip","desc","Triceps","Dumbbells"
"Low Incline Bench Press","desc","Chest","Bench"
"High Incline Bench Press","desc","Chest","Bench"
"Low Incline Bench Press Close Grip","desc","Triceps","Bench"
"High Incline Bench Press Close Grip","desc","Triceps","Bench"
"Tricep Bench Bar Pullover","desc","Triceps","Bench"
"Tricep Bench Bar Extension","desc","Triceps","Bench"
"Far Grip Bench Press","desc","Shoulders","Bench"
"Push Oriented Biking","desc","Quadriceps","Stationary Bike"
"Pull Oriented Biking","desc","Hamstrings","Stationary Bike"
"Biking with Exagerated Foot Rotation","desc","Calves","Stationary Bike"
"Standing Biking","desc","Quadriceps","Stationary Bike"
"Barbell Curls","desc","Biceps","Barbells"
"Barbell Overhead Extensions Tricep Emphasis","desc","Triceps","Barbells"
"Barbell Overhead Extensions Shoulder Emphasis","desc","Shoulders","Barbells"
"Barbell Pullover","desc","Chest","Barbells"
"Barbell Forearm Curl","desc","Forearms","Barbells"
"Barbell Forearm Extension","desc","Forearms","Barbells"
"Barbell Shoulder Press","desc","Shoulders","Barbells"
"Barbell Shoulder Press Close Grip","desc","Triceps","Barbells"
"Barbell Lifts","desc","Triceps","Barbells"
"Barbell Lifts Far Grip","desc","Shoulders","Barbells"
"High Incline Bench Press with Bar","desc","Chest","High Incline Bench Press"
"High Incline Bench Press Close Grip with Bar","desc","Triceps","High Incline Bench Press"
"Far Grip Bench Press with Bar","desc","Shoulders","High Incline Bench Press"
"Bench Press with Bar","desc","Chest","Bench Press"
"Bench Press Close Grip with Bar","desc","Triceps","Bench Press"
"Bench Press Far Grip with Bar","desc","Shoulders","Bench Press"
"Low Squat","desc","Quadriceps","Squat Station"
"Normal Squat","desc","Quadriceps","Squat Station"
"Sumo Squat","desc","Quadriceps","Squat Station"
"Calve Raises","desc","Calves","Squat Station"
"Triceps Oriented Dip Bar Pushup","desc","Triceps","Dipping Bars"
"Chest Oriented Dip Bar Pushup","desc","Chest","Dipping Bars"
"Dip Bar Leg Raise","desc","Abs","Dipping Bars"
"Dip Bar Bicycle Kicks","desc","Abs","Dipping Bars"
"Dip Bar Leg Raise with Rotation","desc","Abs","Dipping Bars"
"Russian Twist","desc","Abs","Abdominal Bench"
"Crunch","desc","Abs","Abdominal Bench"
"Hyperextended Situps","desc","Abs","Abdominal Bench"
"High Intensity Half-Situps","desc","Abs","Abdominal Bench"
"Pull Up Bar Toes to Bar","desc","Abs","Pull Up Bar"
"Pull Up Bar Leg Raises","desc","Abs","Pull Up Bar"
"Pull Up Bar Bicycle Kicks","desc","Abs","Pull Up Bar"
"Pull Up Bar Leg Raise Rotation","desc","Abs","Pull Up Bar"
"Bicep Pulls Up","desc","Biceps","Pull Up Bar"
"Hammer Pulls Up","desc","Back","Pull Up Bar"
"Classic Chin Up","desc","Trapezoid","Pull Up Bar"
"Far Grip Pull Up","desc","Shoulders","Pull Up Bar"
"Goblin Squats","desc","Quadriceps","Kettle Bells"
"Bulgarian Squats","desc","Quadriceps","Kettle Bells"
"Kettle Bell Lifts","desc","Quadriceps","Kettle Bells"
"Kettle Bell Sit Up","desc","Quadriceps","Kettle Bells"
"Russian Kettle Bell Swing","desc","Shoulders","Kettle Bells"
"Kettle Bell Row","desc","Back","Kettle Bells"
"Kettle Bell Dead Lift","desc","Back","Kettle Bells"
"Normal Lat Pull Down","desc","Back","Lat Pull Down Machine"
"Alternated Lat Pull Down","desc","Back","Lat Pull Down Machine"
"Far Grip Lat Pull Down","desc","Back","Lat Pull Down Machine"
"Close Grip Lat Pull Down","desc","Back","Lat Pull Down Machine"
"Toes Outwards Leg Extension","desc","Quadriceps","Leg Extension Machine"
"Toes Inwards Leg Extension","desc","Quadriceps","Leg Extension Machine"
"Normal Leg Extension","desc","Quadriceps","Leg Extension Machine"
"Normal Rowing","desc","Back","Rowing Machine"
"Rowing with Shoulder Pull Ins","desc","Shoulder","Rowing Machine"
"Single Leg Leg Curls","desc","Hamstrings","Leg Curl Machine"
"Normal Leg Curls","desc","Hamstrings","Leg Curl Machine"
"Alternating Arnold Preacher Bench Curls","desc","Biceps","Preacher Bench"
"non-Alternating Arnold Preacher Bench Curls","desc","Biceps","Preacher Bench"
"Preacher Bench Bar Curls","desc","Biceps","Preacher Bench"
"Preacher Bench Dumbbell Curls","desc","Biceps","Preacher Bench"
"Hammer Strength Machine Normal Press","desc","Chest","Hammer Strength Machine"
"Hammer Strength Machine Alternating Press","desc","Chest","Hammer Strength Machine"
"Hammer Strength Machine Far Grip Press","desc","Shoulders","Hammer Strength Machine"
"Hammer Strength Machine Close Grip Press","desc","Triceps","Hammer Strength Machine"
"Toes Outwards Leg Press","desc","Quadriceps","Leg Press Machine"
"Toes Inwards Leg Press","desc","Quadriceps","Leg Press Machine"
"Normal Leg Press","desc","Quadriceps","Leg Press Machine"
"Toes Outwards Hack Squat","desc","Quadriceps","Hack Squat Machine"
"Toes Inwards Hack Squat","desc","Quadriceps","Hack Squat Machine"
"Normal Hack Squat","desc","Quadriceps","Hack Squat Machine"
"Hack Squat Calve Raise","desc","Calves","Hack Squat Machine"
"Russian Twist on Stability Ball","desc","Abs","Stability Ball"
"Crunchon Stability Ball","desc","Abs","Stability Ball"
"Bouncing Situps on Stability Ball","desc","Abs","Stability Ball"
"High Intensity Half-Situps on Stability Ball","desc","Abs","Stability Ball"
"Split Squats on Stability Ball","desc","Quadriceps","Stability Ball"
"Treadmill Run","desc","Hamstrings","Treadmill"
"Treadmill Run with Incline","desc","Calves","Treadmill"
"Single Leg Calve Raise","desc","Calves","Calf Machine"
"Two Leg Calve Raise","desc","Calves","Calf Machine"
"Intermittent Speed Calve Raise","desc","Calves","Calf Machine"
"Cable Alternating Arnold Curls","desc","Biceps","Cables and Pulleys"
"Cable Bicep Curls","desc","Biceps","Cables and Pulleys"
"Cable non-Alternating Arnold Curls","desc","Biceps","Cables and Pulleys"
"Cable Inner Curls","desc","Biceps","Cables and Pulleys"
"EZ Curl Bar Curls","desc","Biceps","EZ Curl Bar"
"EZ Curl Bar Overhead Extensions Tricep Emphasis","desc","Triceps","EZ Curl Bar"
"EZ Curl Bar Overhead Extensions Shoulder Emphasis","desc","Shoulders","EZ Curl Bar"
"EZ Curl Bar Pullover","desc","Chest","EZ Curl Bar"
"EZ Curl Bar Lifts","desc","Triceps","EZ Curl Bar"
"EZ Curl Bar Lifts Far Grip","desc","Shoulders","EZ Curl Bar"
"Cable Single Arm Overhead Extensions Tricep Emphasis","desc","Triceps","Cables and Pulleys"
"Normal Hyper Extension","desc","Back","Hyper Extension Bench"
"Side Hyper Extension","desc","Back","Hyper Extension Bench"
"Hyper Extension with Kettle Bell","desc","Back","Hyper Extension Bench"
"Side Hyper Extension with Kettle Bell","desc","Back","Hyper Extension Bench"
"Cable Single Arm Overhead Extensions Shoulder Emphasis","desc","Shoulders","Cables and Pulleys"
"Cable Two Hand Overhead Extensions Tricep Emphasis","desc","Triceps","Cables and Pulleys"
"Cable Two Hand Overhead Extensions Shoulder Emphasis","desc","Shoulders","Cables and Pulleys"
"High Grip Chest Flies","desc","Chest","Pec Deck Machine"
"Low Grip Chest Flies","desc","Chest","Pec Deck Machine"
"Normal Grip Chest Flies","desc","Chest","Pec Deck Machine"
"Normal Grip Back Flies","desc","Back","Pec Deck Machine"
"Split Squats","desc","Quadriceps","None"
"Push Ups","desc","Chest","None"
"Close Stance Push Ups","desc","Triceps","None"
"Sit Ups","desc","Abs","None"
"Bicycle Kicks","desc","Abs","None"
"Plank","desc","Abs","None"
"Side Plank","desc","Abs","None"
"One Legged Squat","desc","Calves","None"
"Normal Leg Abduction","desc","Hamstrings","Leg Abduction Machine"
"Normal Leg Adduction","desc","Hamstrings","Leg Adduction Machine"
"Cable Back Fly for Traps","desc","Trapezoid","Cables and Pulleys"
"Cable Back Fly for Shoulders","desc","Shoulders","Cables and Pulleys"
"Tricep Cable Kickbacks","desc","Triceps","Cables and Pulleys"
"Forearm Cable Curl","desc","Forearms","Cables and Pulleys"
"Chest Press with Cable","desc","Chest","Cables and Pulleys"
"Cable Normal Lat Pull Down","desc","Back","Cables and Pulleys"
"Cable Alternated Lat Pull Down","desc","Back","Cables and Pulleys"
"Cable Far Grip Lat Pull Down","desc","Back","Cables and Pulleys"
"Low Squat on Smith Machine","desc","Quadriceps","Smith Machine"
"Normal Squat on Smith Machine","desc","Quadriceps","Smith Machine"
"Sumo Squat on Smith Machine","desc","Quadriceps","Smith Machine"
"Calve Raises on Smith Machine","desc","Calves","Smith Machine"
"Goblin Squat on Smith Machine","desc","Quadriceps","Smith Machine"
"Low Incline Bench Press with Bar","desc","Chest","Low Incline Bench Press"
"Low Incline Bench Press Close Grip with Bar","desc","Triceps","Low Incline Bench Press"
"Low Incline Far Grip Bench Press with Bar","desc","Shoulders","Low Incline Bench Press"
"Cable Close Grip Lat Pull Down","desc","Back","Cables and Pulleys"
